"Iteracao";"RSS"
1;2648.238127
2;2381.173593
3;2142.151014
4;1928.225950
5;1736.763131
6;1565.403995
7;1412.037629
8;1274.774770
9;1151.924531
10;1041.973568
11;943.567442
12;855.493931
13;776.668097
14;706.118923
15;642.977350
16;586.465569
17;535.887446
18;490.619938
19;450.105424
20;413.844835
21;381.391502
22;352.345659
23;326.349516
24;303.082851
25;282.259064
26;263.621651
27;246.941039
28;232.011763
29;218.649929
30;206.690955
31;195.987538
32;186.407843
33;177.833879
34;170.160041
35;163.291817
36;157.144615
37;151.642727
38;146.718394
39;142.310973
40;138.366186
41;134.835458
42;131.675311
43;128.846833
44;126.315200
45;124.049241
46;122.021061
47;120.205694
48;118.580792
49;117.126357
50;115.824491
51;114.659172
52;113.616064
53;112.682333
54;111.846496
55;111.098273
56;110.428465
57;109.828838
58;109.292024
59;108.811425
60;108.381141
61;107.995887
62;107.650936
63;107.342056
64;107.065459
65;106.817755
66;106.595911
67;106.397212
68;106.219226
69;106.059780
70;105.916926
71;105.788923
72;105.674210
73;105.571393
74;105.479223
75;105.396581
76;105.322466
77;105.255985
78;105.196334
79;105.142798
80;105.094733
81;105.051566
82;105.012781
83;104.977920
84;104.946570
85;104.918362
86;104.892966
87;104.870088
88;104.849462
89;104.830852
90;104.814047
91;104.798858
92;104.785113
93;104.772662
94;104.761370
95;104.751113
96;104.741784
97;104.733285
98;104.725529
99;104.718438
100;104.711942
101;104.705979
102;104.700492
103;104.695432
104;104.690754
105;104.686418
106;104.682387
107;104.678631
108;104.675119
109;104.671827
110;104.668731
111;104.665810
112;104.663047
113;104.660425
114;104.657928
115;104.655544
116;104.653262
117;104.651069
118;104.648957
119;104.646918
120;104.644943
121;104.643026
122;104.641162
123;104.639343
124;104.637566
125;104.635827
126;104.634120
127;104.632444
128;104.630794
129;104.629168
130;104.627563
131;104.625978
132;104.624409
133;104.622856
134;104.621317
135;104.619790
136;104.618273
137;104.616767
138;104.615270
139;104.613780
140;104.612298
141;104.610822
142;104.609351
143;104.607886
144;104.606425
145;104.604968
146;104.603515
147;104.602065
148;104.600618
149;104.599174
150;104.597732
151;104.596292
152;104.594854
153;104.593418
154;104.591983
155;104.590549
156;104.589117
157;104.587686
158;104.586256
159;104.584827
160;104.583398
161;104.581971
162;104.580543
163;104.579117
164;104.577691
165;104.576265
166;104.574840
167;104.573415
168;104.571991
169;104.570567
170;104.569143
171;104.567720
172;104.566296
173;104.564873
174;104.563450
175;104.562027
176;104.560605
177;104.559182
178;104.557760
179;104.556338
180;104.554916
181;104.553494
182;104.552072
183;104.550650
184;104.549228
185;104.547807
186;104.546385
187;104.544964
188;104.543542
189;104.542121
190;104.540699
191;104.539278
192;104.537857
193;104.536436
194;104.535014
195;104.533593
196;104.532172
197;104.530751
198;104.529330
199;104.527909
200;104.526488
201;104.525067
202;104.523646
203;104.522226
204;104.520805
205;104.519384
206;104.517963
207;104.516543
208;104.515122
209;104.513701
210;104.512281
211;104.510860
212;104.509440
213;104.508019
214;104.506599
215;104.505178
216;104.503758
217;104.502337
218;104.500917
219;104.499497
220;104.498076
221;104.496656
222;104.495236
223;104.493816
224;104.492395
225;104.490975
226;104.489555
227;104.488135
228;104.486715
229;104.485295
230;104.483875
231;104.482455
232;104.481035
233;104.479615
234;104.478195
235;104.476775
236;104.475355
237;104.473935
238;104.472515
239;104.471096
240;104.469676
241;104.468256
242;104.466836
243;104.465417
244;104.463997
245;104.462577
246;104.461158
247;104.459738
248;104.458319
249;104.456899
250;104.455480
251;104.454060
252;104.452641
253;104.451221
254;104.449802
255;104.448382
256;104.446963
257;104.445544
258;104.444125
259;104.442705
260;104.441286
261;104.439867
262;104.438448
263;104.437028
264;104.435609
265;104.434190
266;104.432771
267;104.431352
268;104.429933
269;104.428514
270;104.427095
271;104.425676
272;104.424257
273;104.422838
274;104.421420
275;104.420001
276;104.418582
277;104.417163
278;104.415745
279;104.414326
280;104.412907
281;104.411488
282;104.410070
283;104.408651
284;104.407233
285;104.405814
286;104.404396
287;104.402977
288;104.401559
289;104.400140
290;104.398722
291;104.397303
292;104.395885
293;104.394467
294;104.393048
295;104.391630
296;104.390212
297;104.388794
298;104.387375
299;104.385957
300;104.384539
301;104.383121
302;104.381703
303;104.380285
304;104.378867
305;104.377449
306;104.376031
307;104.374613
308;104.373195
309;104.371777
310;104.370359
311;104.368941
312;104.367523
313;104.366105
314;104.364688
315;104.363270
316;104.361852
317;104.360435
318;104.359017
319;104.357599
320;104.356182
321;104.354764
322;104.353346
323;104.351929
324;104.350511
325;104.349094
326;104.347677
327;104.346259
328;104.344842
329;104.343424
330;104.342007
331;104.340590
332;104.339172
333;104.337755
334;104.336338
335;104.334921
336;104.333504
337;104.332086
338;104.330669
339;104.329252
340;104.327835
341;104.326418
342;104.325001
343;104.323584
344;104.322167
345;104.320750
346;104.319333
347;104.317916
348;104.316499
349;104.315083
350;104.313666
351;104.312249
352;104.310832
353;104.309416
354;104.307999
355;104.306582
356;104.305166
357;104.303749
358;104.302332
359;104.300916
360;104.299499
361;104.298083
362;104.296666
363;104.295250
364;104.293833
365;104.292417
366;104.291001
367;104.289584
368;104.288168
369;104.286752
370;104.285335
371;104.283919
372;104.282503
373;104.281087
374;104.279671
375;104.278255
376;104.276838
377;104.275422
378;104.274006
379;104.272590
380;104.271174
381;104.269758
382;104.268342
383;104.266927
384;104.265511
385;104.264095
386;104.262679
387;104.261263
388;104.259847
389;104.258432
390;104.257016
391;104.255600
392;104.254184
393;104.252769
394;104.251353
395;104.249938
396;104.248522
397;104.247107
398;104.245691
399;104.244276
