"Iteracao";"grad_m";"grad_b"
1;-1748.324567;-100.290939
2;-805.115186;-44.143971
3;-370.826243;-18.291997
4;-170.863334;-6.388973
5;-78.792909;-0.908568
6;-36.400225;1.614622
7;-16.881034;2.776200
8;-7.893655;3.310841
9;-3.755518;3.556816
10;-1.850153;3.669879
11;-0.972840;3.721744
12;-0.568881;3.745431
13;-0.382872;3.756145
14;-0.297214;3.760884
15;-0.257763;3.762873
16;-0.239587;3.763596
17;-0.231206;3.763736
18;-0.227336;3.763607
19;-0.225542;3.763354
20;-0.224705;3.763045
21;-0.224308;3.762709
22;-0.224114;3.762362
23;-0.224013;3.762009
24;-0.223955;3.761653
25;-0.223917;3.761296
26;-0.223888;3.760939
27;-0.223863;3.760582
28;-0.223840;3.760224
29;-0.223818;3.759867
30;-0.223796;3.759509
31;-0.223775;3.759151
32;-0.223753;3.758794
33;-0.223732;3.758436
34;-0.223711;3.758079
35;-0.223689;3.757722
36;-0.223668;3.757364
37;-0.223647;3.757007
38;-0.223626;3.756650
39;-0.223604;3.756292
40;-0.223583;3.755935
41;-0.223562;3.755578
42;-0.223541;3.755221
43;-0.223519;3.754864
44;-0.223498;3.754506
45;-0.223477;3.754149
46;-0.223456;3.753792
47;-0.223434;3.753435
48;-0.223413;3.753078
49;-0.223392;3.752721
50;-0.223371;3.752364
51;-0.223349;3.752008
52;-0.223328;3.751651
53;-0.223307;3.751294
54;-0.223286;3.750937
55;-0.223264;3.750580
56;-0.223243;3.750224
57;-0.223222;3.749867
58;-0.223201;3.749510
59;-0.223179;3.749154
60;-0.223158;3.748797
61;-0.223137;3.748441
62;-0.223116;3.748084
63;-0.223095;3.747728
64;-0.223073;3.747371
65;-0.223052;3.747015
66;-0.223031;3.746659
67;-0.223010;3.746302
68;-0.222989;3.745946
69;-0.222967;3.745590
70;-0.222946;3.745234
71;-0.222925;3.744877
72;-0.222904;3.744521
73;-0.222882;3.744165
74;-0.222861;3.743809
75;-0.222840;3.743453
76;-0.222819;3.743097
77;-0.222798;3.742741
78;-0.222777;3.742385
79;-0.222755;3.742029
80;-0.222734;3.741673
81;-0.222713;3.741317
82;-0.222692;3.740961
83;-0.222671;3.740606
84;-0.222649;3.740250
85;-0.222628;3.739894
86;-0.222607;3.739539
87;-0.222586;3.739183
88;-0.222565;3.738827
89;-0.222544;3.738472
90;-0.222522;3.738116
91;-0.222501;3.737761
92;-0.222480;3.737405
93;-0.222459;3.737050
94;-0.222438;3.736694
95;-0.222417;3.736339
96;-0.222395;3.735984
97;-0.222374;3.735628
98;-0.222353;3.735273
99;-0.222332;3.734918
100;-0.222311;3.734562
101;-0.222290;3.734207
